"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.120605","X.0.28125","X0.931152","X13.3125","X.8.125","X.14.5625","X81","X95","X96","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.112305","X0.0458984","X1.07764","X2.125","X11.25","X0.375","X92","X95","X96"
"1",0,0,0,0,0,0,0,0,-0.110352,-0.369141,0.972168,-0.1875,-39.1875,-10.1875,81,94,96,0,0,0,0,0,0,0,0,-0.123535,-0.0751953,1.09082,9.625,40.875,12.0625,92,97,97
"2",0,0,0,0,0,0,0,0,0.00683594,-0.376465,0.954102,-13,-52.125,-14.9375,81,92,96,0,0,0,0,0,0,0,0,-0.252441,0.0839844,1.05566,53.5625,35.1875,18.1875,93,97,97
"3",-1,0,17,3,1,10,3,3,0.0732422,-0.354004,0.954102,-22.9375,-59.625,-24.75,80,88,96,2,-1,55,31,1,3,1,-11,-0.300781,0.404785,1.04736,32.25,-65.5625,78.1875,95,96,98
"4",-6,-17,-7,-5,-6,-6,-2,-1,0.151367,-0.479004,0.923828,-33.5,-37.125,-33,79,84,95,18,10,-30,7,5,-5,5,-3,0.0556641,0.324219,1.06152,101.625,-132.375,124.312,98,88,101
"5",-3,-4,1,-3,-3,-4,-3,0,0.0683594,-0.503418,0.943848,34.5625,-19.0625,-42.75,79,83,95,-2,-1,-26,11,5,11,2,-2,0.311523,0.305176,0.979492,79.875,-135.5,142.5,99,81,103
"6",1,4,-5,2,0,14,0,-1,0.124512,-0.198242,0.912109,41.375,-14.875,-35.25,80,82,94,2,-8,28,19,-3,1,-1,8,0.530762,0.287109,0.963379,-7.1875,-135.938,149.75,99,70,105
"7",-3,-3,-6,-3,-1,-2,-1,-2,0.115723,-0.357422,0.916016,-3.625,0.0625,-18.9375,81,81,94,1,10,22,48,17,-4,-7,-11,0.584961,0.111328,0.80127,1.0625,-127.812,154.188,97,60,109
"8",2,4,2,1,2,-1,4,0,0.113281,-0.217285,0.917969,20.875,7.75,-7,81,81,93,9,20,24,23,-8,0,10,9,0.571289,0.189941,0.712402,-14.8125,-121.562,126.625,96,54,112
"9",-1,-10,-3,-3,-1,-4,8,-2,0.0961914,-0.270996,0.921875,8.75,11.625,-0.1875,81,82,93,-16,-22,-27,-90,-18,-31,5,1,0.527832,0.114746,0.65625,-0.3125,-81.5625,101.812,93,47,115
"10",-1,-9,-9,-4,-3,9,8,-4,0.0366211,-0.261719,0.916992,7.125,12.375,2.875,82,83,93,17,-67,-2,10,3,42,-2,-1,0.566895,0.0932617,0.649414,2.4375,-46.0625,63.25,92,44,117
