"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.22998","X.0.0317383","X1.00049","X0.625","X1.3125","X.0.5625","X89","X103","X143","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26709","X0.105957","X1.02539","X15.25","X2.8125","X3.5","X93","X104","X61"
"1",0,0,0,0,0,0,0,0,-0.237305,-0.0444336,0.987793,1.75,0.5,0.75,89,103,143,0,0,0,0,0,0,0,0,-0.327148,0.143066,1.05176,25.5,-11.625,8.875,93,104,61
"2",0,0,0,0,0,0,0,0,-0.22998,-0.03125,0.989258,2.3125,-0.3125,1.625,89,103,143,0,0,0,0,0,0,0,0,-0.37207,0.169434,1.10693,26.9375,-26.1875,12.5,94,103,61
"3",-6,13,-19,-4,2,3,4,-1,-0.227051,-0.0283203,0.999023,1,-0.625,3.125,89,103,143,-1,11,-5,-1,4,0,2,11,-0.227051,0.294434,1.10449,62.8125,-95.4375,60.4375,96,98,62
"4",5,3,-5,1,0,2,11,-1,-0.22998,-0.0244141,0.998047,2.625,0.25,3.875,89,103,143,-9,-3,-9,-7,-9,-4,-1,-1,0.109375,0.333008,1.03174,16.8125,-139.312,103.938,97,89,64
"5",5,-28,-15,-2,-2,-6,0,0,-0.227051,-0.00390625,0.993164,2.6875,0.3125,3.75,89,103,143,-4,13,23,29,3,5,1,5,0.219238,0.291016,1.02539,35.3125,-129.938,130.062,97,83,66
"6",5,-1,-15,-3,-3,-1,6,-8,-0.214844,-0.0112305,1.00488,2.8125,-0.6875,1.4375,89,103,143,-23,6,25,19,2,-4,-4,1,0.489258,0.289551,0.981445,7.375,-130.125,148.125,97,73,69
"7",-8,1,1,-4,-4,-2,-13,0,-0.226074,0.00634766,0.991211,-0.125,0.375,0.125,89,103,143,-37,-20,-5,-5,-13,-6,3,8,0.497559,0.193848,0.940918,-5,-131.438,150.125,96,66,71
"8",-2,-36,-43,-4,-5,-14,-6,-3,-0.230469,-0.0175781,0.992188,0.5,0.4375,-1.75,89,103,143,1,1,0,3,-12,-8,0,6,0.479004,0.111328,0.79248,-12.5625,-115.562,134.125,94,57,75
"9",12,23,36,-1,-3,3,1,0,-0.222656,-0.0180664,0.999512,0.0625,0.875,-0.75,89,103,143,-1,-4,2,7,-4,1,-7,-1,0.496094,0.0498047,0.75,-4.0625,-95.625,107.062,93,52,77
"10",-7,1,-9,-1,-2,-6,-4,-1,-0.232422,-0.0141602,0.984863,0.4375,0.875,-0.6875,89,103,143,-4,1,-5,-6,7,0,1,-3,0.460938,0.0161133,0.688477,-1.25,-54.75,57.4375,91,48,80
"11",-3,15,13,4,-1,-3,1,-1,-0.234863,-0.0146484,0.998535,0.125,0.5625,-0.125,89,103,143,-11,-10,-7,-14,17,-18,-3,-13,0.527832,0.0205078,0.680176,8.4375,-25.0625,30.5625,91,47,81
"12",-12,8,24,2,-1,-6,2,1,-0.234375,-0.0185547,0.990234,-0.5,0.6875,0.875,89,103,143,15,16,13,23,-12,-2,-3,2,0.59082,0.0361328,0.689941,22.1875,5.5,13.25,91,47,82
"13",-6,16,-5,2,1,32,21,-2,-0.231934,-0.00830078,0.994141,0.75,0.1875,1.5625,89,103,143,6,7,7,12,-8,-4,0,4,0.607422,0.0102539,0.724609,13.9375,8,10.8125,91,47,82
"14",-5,5,36,0,2,-5,2,3,-0.224121,-0.0107422,0.986816,1.1875,0.5625,0.9375,89,103,143,-14,-11,-26,-22,-47,-15,-10,-5,0.652344,-0.00585938,0.761719,10.8125,-3.8125,9.1875,91,48,82
"15",12,-2,24,4,3,14,8,4,-0.236816,0.000488281,0.996582,0.3125,0,-0.4375,89,103,143,-2,-5,0,-1,18,8,8,-9,0.684082,0.00146484,0.763184,14.6875,-11.125,5.8125,91,47,83
"16",-17,10,-43,-4,-6,-3,-6,-1,-0.227051,0.00390625,0.992676,-3.4375,-0.3125,-2.75,89,103,143,1,1,1,11,15,5,-1,-2,0.688965,-0.0112305,0.730957,18.4375,-5.5625,8.625,91,47,83
"17",-8,-2,-20,0,-2,-9,-5,-3,-0.228027,-0.00634766,0.991211,-2.1875,-0.5,-4.1875,89,103,143,-5,1,4,-4,-15,-7,-3,0,0.647949,0.0141602,0.759766,12,-0.75,6.875,91,47,83
"18",-23,-14,21,0,0,-8,1,-5,-0.21875,-0.0205078,0.998047,-2.5,-0.9375,-4.3125,89,103,143,7,6,8,1,11,4,3,7,0.55957,0.00830078,0.792969,-0.5,-0.5625,11,91,47,84
"19",1,-2,-42,-4,-3,-3,-4,1,-0.227051,-0.0234375,0.995117,-4.1875,-0.125,-3.6875,89,103,143,-8,-10,-19,-16,5,-31,-8,-12,0.564941,-0.00976562,0.789551,-14.125,-1.1875,-23.1875,91,47,83
"20",9,-25,45,-1,-4,-12,-3,2,-0.22998,-0.0302734,0.986816,-1,-0.6875,-3,89,102,143,11,8,11,10,12,5,5,-10,0.532227,-0.027832,0.812012,-16.0625,7.0625,-42.0625,91,48,82
"21",3,2,-19,0,0,-2,-3,-1,-0.222656,-0.0356445,1.00391,-1.25,-0.75,-1.5625,89,102,143,-7,-3,-4,4,61,5,-8,13,0.526855,0.0229492,0.859375,-38.5625,12.125,-75.75,92,50,80
"22",2,-4,0,0,-3,-16,5,-4,-0.22168,-0.0361328,1.00098,0.1875,0,0.5625,89,102,143,1,5,5,11,1,13,13,-6,0.592285,0.0517578,0.902344,-55.5,17.5,-92.6875,92,51,78
"23",-4,4,17,-3,-2,2,-3,7,-0.224609,-0.0351562,1.00537,1.8125,0.875,1.4375,89,102,143,-30,-11,-4,-7,-18,1,5,15,0.651855,0.103516,0.912109,-83.625,-1.25,-108.938,92,52,74
"24",1,4,-18,2,1,-10,-3,1,-0.225586,-0.0214844,0.999023,2.75,1.375,2.5,89,102,143,-16,-4,-2,0,-16,-46,-8,-1,0.747559,0.109375,0.897461,-109.688,-19.0625,-112.188,92,52,71
"25",24,26,6,-1,0,8,0,1,-0.22168,-0.0195312,0.995605,2.0625,1.3125,2.25,89,103,143,-33,-7,-5,1,91,35,4,-20,0.825195,0.126953,0.825684,-133,-40.25,-110.375,91,50,67
