"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.167969","X.0.074707","X0.980957","X.0.3125","X.0.125","X.1.125","X88","X100","X141","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.439941","X0.376465","X0.808105","X.0.0625","X1.125","X.0.8125","X102","X63","X39"
"1",0,0,0,0,0,0,0,0,-0.174805,-0.0454102,1.00732,-3.375,-0.875,-0.625,88,99,141,0,0,0,0,0,0,0,0,0.431641,0.38916,0.784668,-0.125,6.5625,0.25,102,63,39
"2",0,0,0,0,0,0,0,0,-0.168457,-0.0458984,1.01904,-3.8125,-0.4375,-0.375,88,99,141,0,0,0,0,0,0,0,0,0.428223,0.39209,0.757324,-0.9375,15.625,1.5625,102,64,39
"3",-13,1,55,5,0,-4,-3,-4,-0.180176,-0.0683594,1.01416,1.375,0.9375,-0.9375,88,99,141,-9,-1,0,0,6,56,-23,-15,0.401367,0.418945,0.755859,-33.3125,55.3125,11.625,101,66,40
"4",11,-17,10,0,-1,-1,27,3,-0.179688,-0.0625,1.0166,1.25,2.5,0.4375,88,100,141,22,23,9,4,1,-2,-2,8,0.334961,0.411621,0.82666,-91.375,112,30.0625,98,70,42
"5",9,-2,24,0,-1,0,2,3,-0.183594,-0.0683594,1.00732,2.4375,3.125,1.4375,88,100,141,9,-11,-15,1,-2,10,1,-2,0.302734,0.37207,0.890625,-79.5625,125,68.6875,96,74,43
"6",1,1,10,-3,-1,-3,-6,-5,-0.178711,-0.0454102,1.00342,2.5,3.4375,3.3125,88,100,141,7,10,13,11,-6,-2,-15,8,0.255859,0.306152,0.958008,-36.0625,99.25,107.812,94,80,47
"7",23,-14,-35,-4,-1,-11,-9,-2,-0.187988,-0.0488281,0.994629,1.8125,2.0625,4.0625,88,100,141,-6,-16,-26,-17,13,2,7,1,0.312988,0.31543,0.941895,-24.25,87.9375,125.438,94,81,48
"8",18,-3,-27,-5,-1,-1,4,5,-0.196289,-0.0649414,1.01367,8.0625,1.5625,4.625,88,100,141,4,-1,2,13,12,1,-4,-3,0.191406,0.194824,1.13135,16.1875,45.125,147.875,93,85,54
"9",-6,8,22,-1,-2,-8,-14,-3,-0.185547,-0.0595703,1.00049,1.0625,1,4,88,100,141,-4,2,-4,4,18,-1,-4,-3,0.135254,0.0883789,1.16553,34,0,147.938,93,85,59
"10",-20,33,20,6,3,1,-4,-1,-0.182129,-0.0429688,0.993164,2.5,1.125,4.5,88,100,141,-2,-5,-5,-48,-64,-12,-4,0,0.120117,0.128418,1.19775,42.0625,-28.6875,132.812,94,83,62
"11",-26,-5,-32,-5,-2,-2,-4,1,-0.190918,-0.0234375,0.99707,-0.25,0.125,3.8125,88,100,142,-9,-7,-5,4,-78,1,1,4,0.0742188,0.123047,1.11426,13.125,-50.3125,111.938,94,79,65
"12",-12,7,16,3,0,7,-1,-14,-0.185059,-0.0234375,0.991211,-0.1875,-0.75,2.25,88,100,142,2,-4,-3,4,10,2,0,2,0.0532227,0.0805664,1.05713,-9,-61.5,98.0625,93,75,68
"13",-50,-2,4,3,0,6,3,-9,-0.186035,-0.0263672,1.00439,-0.125,-1.1875,0.1875,88,100,142,-8,-1,3,4,16,1,-11,-6,0.0732422,-0.0214844,0.989258,17.1875,-65.5625,71.3125,93,73,69
"14",17,2,16,3,0,-9,2,0,-0.188477,-0.0322266,0.998535,-1.5625,-1.1875,-1.1875,88,100,142,-1,-1,-3,-3,1,1,0,-8,0.0683594,0.059082,0.851562,7.6875,-28,36.0625,93,71,71
"15",7,-37,-11,-4,-2,10,-3,-2,-0.186035,-0.0356445,1.00439,1.0625,-1.25,-2.25,88,100,142,1,0,-2,5,3,-1,-5,7,0.0581055,0.00244141,0.827148,2.75,0.25,10.875,93,71,71
"16",-16,6,-42,3,-1,-8,-3,-6,-0.193848,-0.0400391,1.00977,-0.0625,0.4375,-2.5625,88,100,141,1,-5,-5,5,-4,-3,4,2,0.0566406,0.0151367,0.849121,17.0625,42.4375,-18.25,93,74,71
"17",8,-23,2,-3,-3,0,-3,0,-0.190918,-0.0522461,0.993164,0.0625,-3.625,-4.0625,88,100,141,-3,-2,-6,-1,-6,-2,-6,-8,0.0703125,0.0625,0.905273,16.4375,53.9375,-41.625,93,76,70
