"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.166016","X.0.20166","X0.979492","X9.75","X9.25","X.11.125","X83","X97","X97.1","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.203613","X0.015625","X1.03369","X10.25","X12.3125","X.2.25","X89","X98","X95"
"1",0,0,0,0,0,0,0,0,-0.227051,-0.285645,0.955078,-0.0625,-10.5,-16.375,83,97,96,0,0,0,0,0,0,0,0,-0.348633,-0.0483398,1.00928,47,21.9375,13.9375,90,100,96
"2",0,0,0,0,0,0,0,0,-0.189941,-0.342285,1.01953,-1.625,-22.625,-13.4375,83,96,96,0,0,0,0,0,0,0,0,-0.570801,0.307617,0.987305,73.4375,-44.5,49.5625,92,99,96
"3",3,7,-4,-1,-4,-25,-16,0,-0.000976562,-0.337891,1.00781,-7.0625,-47.25,-34.6875,83,92,96,-2,-10,-17,-25,-7,3,16,8,-0.132812,0.287109,1.11133,74.375,-110.688,101.5,94,96,98
"4",-1,-7,-2,-1,0,4,3,-3,0.0209961,-0.289062,0.96875,-6.4375,-54.625,-34.1875,82,90,95,-7,-9,34,-19,-11,-6,-2,-6,0.241699,0.120605,1.09277,95.8125,-158.688,145.375,96,85,101
"5",-3,1,2,1,0,3,4,-5,0.0927734,-0.208984,0.934082,-14.6875,-41.75,-18.9375,82,87,95,-9,-27,-31,-24,-1,18,12,4,0.464844,0.236328,0.975586,84.375,-153.562,157.875,98,77,103
"6",2,1,0,-3,-2,2,-2,-2,0.0249023,-0.314453,0.962402,-0.1875,-13.375,-8.5,82,85,95,9,11,-7,-17,-2,65,7,3,0.56543,0.237305,0.917969,-5.375,-141.438,155.188,97,66,107
"7",5,0,-16,-10,-5,-6,1,3,0.0361328,-0.21875,0.935059,21.125,-3.125,-9.6875,82,85,95,-6,-3,1,11,-7,-31,-3,-2,0.58252,0.0512695,0.756348,12.375,-121.438,153.375,95,56,111
"8",-4,5,1,1,-1,6,1,6,0.0371094,-0.206543,0.92041,-4.1875,4.4375,-2.875,82,85,94,6,-13,33,62,9,-2,2,0,0.534668,0.104492,0.698242,-7.625,-107.938,122.75,94,51,114
"9",4,1,1,1,0,-1,5,5,0.0390625,-0.273438,0.929688,4.875,6.125,-0.4375,82,86,94,-63,-53,-37,-62,-10,-19,1,-6,0.502441,0.0820312,0.686523,18.875,-59.625,43.3125,92,46,116
"10",-5,2,0,-1,0,5,-4,-2,-0.00634766,-0.282227,0.939941,-7.875,3.5625,1.6875,82,86,94,30,11,-24,-26,-1,2,1,1,0.586914,0.0673828,0.675293,18.1875,-23.125,6.875,93,45,116
"11",-3,-5,-4,-6,-7,-3,-1,-4,0.0151367,-0.293457,0.959473,-10.9375,-0.6875,-3.4375,82,86,94,26,-11,-40,86,32,17,-1,2,0.632324,0.0405273,0.710938,27.5,22.875,5.6875,93,46,117
"12",-5,-1,1,-6,-1,2,3,-2,0.0698242,-0.260254,0.974121,-5.875,-3.875,-9.375,82,86,94,1,10,2,-50,-25,-1,3,-2,0.666016,0.0117188,0.706055,0.625,2.875,5.0625,93,47,117
"13",1,-1,-3,-4,-14,-4,0,-4,0.0610352,-0.267578,0.991699,-6.125,-3.25,-11,82,86,94,5,29,7,-5,13,-4,-1,-3,0.647949,0.0546875,0.703125,-5,-1.4375,-5.4375,93,47,117
"14",4,-6,-5,-3,-4,6,2,2,0.0473633,-0.277832,0.991699,-9.8125,-7.1875,-11.0625,81,85,94,-20,-16,25,18,13,2,-3,-6,0.687012,0.0380859,0.67627,-7.5625,-5,0.625,92,46,117
"15",-2,0,1,0,3,11,1,-3,0.0415039,-0.314453,0.994141,-20.25,-18.125,-14.875,81,85,93,9,3,15,1,2,-17,1,2,0.720703,0.015625,0.689453,-8.75,-4.125,-2.25,92,46,117
"16",-6,-4,-8,-6,-5,-22,-4,-7,0.0639648,-0.333008,0.999512,-21.875,-27.4375,-19.9375,80,84,93,4,-2,2,16,19,20,4,1,0.711914,0.0258789,0.690918,-9.875,0.375,-0.125,92,46,117
"17",1,4,-10,0,-1,2,3,4,0.150391,-0.336426,0.972656,-15.25,-36.125,-26.75,80,81,93,2,1,5,12,-3,2,10,1,0.630371,-0.0458984,0.632812,-24.4375,0.9375,8.75,91,46,117
"18",-10,-15,-13,-10,-7,-9,-8,-5,0.189941,-0.322266,0.937012,-17.75,-38.125,-29.25,80,79,92,-1,-3,-1,2,-7,-3,1,-1,0.678711,-0.0214844,0.621582,-38.6875,12.25,0.1875,90,46,117
"19",-4,-5,-4,-1,3,12,3,-13,0.27002,-0.296875,0.927734,-11.6875,-34,-31.6875,79,77,92,-7,15,1,5,-5,-13,-4,-4,0.822266,-0.0795898,0.70166,-20.875,41.9375,-59.875,90,47,117
