"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.261719","X.0.157227","X1.24365","X.27.625","X.168.812","X.96.375","X88","X84","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.407227","X.0.380371","X0.95752","X15.25","X5.6875","X17.1875","X81","X108","X86"
"1",0,0,0,0,0,0,0,0,0.446777,-0.180664,1.18018,0.6875,-197.375,-102.062,88,76,63,0,0,0,0,0,0,0,0,-0.433105,-0.305176,0.767578,12.8125,6.1875,23.5,82,109,86
"2",0,0,0,0,0,0,0,0,0.493652,-0.131836,1.07031,19.3125,-200.375,-100.75,88,72,62,0,0,0,0,0,0,0,0,-0.602051,-0.17334,0.8125,-5.9375,-35.625,35.75,82,109,87
"3",2,28,46,12,2,6,8,2,0.492676,0.202148,0.748047,70.4375,-140.375,-59.625,94,54,57,-14,-13,-1,-7,-11,-25,-4,-5,-0.379395,-0.160156,1.30469,16.75,-185.188,52.6875,83,100,91
"4",-12,-65,-104,-16,-3,0,3,18,0.275391,0.255371,0.80957,66.875,-111.938,-29.875,96,50,55,-41,-57,18,44,-3,-11,-65,-19,0.0488281,-0.133301,1.31738,-5.875,-218.25,65,84,92,93
"5",-21,-32,24,7,-3,-73,-9,-14,0.775879,0.208008,0.584473,22.625,-58.75,-2.3125,97,45,55,48,10,2,-6,-16,0,98,63,0.382324,-0.256836,1.29541,-37.875,-230.75,68.6875,83,84,95
"6",-7,-44,-71,-12,-6,-47,-37,-6,0.533203,0.225586,0.652832,71.125,-10.8125,4.625,99,44,55,22,16,3,1,-36,-44,-36,32,0.580566,-0.395996,1.10693,-70.25,-241.562,75.25,80,71,99
"7",-8,-4,-24,-5,1,61,6,10,0.671387,0.0913086,0.504395,7.875,10.125,4.125,99,45,55,17,21,15,9,19,17,36,20,0.584473,-0.480957,0.804688,-91.1875,-188.062,83.5625,76,61,104
"8",2,36,75,30,13,-76,0,-8,0.561035,0.124512,0.598633,50.9375,7.6875,-1.875,100,45,55,17,-30,2,-3,15,53,-9,33,0.391602,-0.540527,0.679688,-108,-138.75,72.8125,70,56,109
"9",3,17,35,43,19,112,20,-9,0.65332,0.199707,0.558594,13.6875,-2.9375,2.5,101,45,55,13,-35,-6,-7,-5,-5,23,-45,0.408691,-0.651855,0.594727,-103.938,-108.938,25.5,66,53,112
"10",-7,-34,-11,17,10,3,-9,8,0.563965,0.241211,0.59375,16.5,-17.375,-7.125,101,44,55,-40,66,-57,-32,-24,-6,10,81,0.467773,-0.526855,0.444336,-106.625,-63.0625,53.9375,62,53,115
"11",1,-10,-49,8,-6,-11,-23,-46,0.612305,0.256836,0.571777,-14.5,-21.1875,-23.1875,102,44,54,-21,-60,24,23,17,-51,-5,-128,0.538574,-0.708984,0.365234,-107.312,-63.5625,47.0625,58,53,117
"12",5,43,-11,33,22,85,-9,-7,0.837891,0.255371,0.580078,-19.75,-26.375,-23.875,102,43,53,110,-1,-1,6,11,24,37,24,0.444336,-0.632812,0.257812,-45.3125,10.125,52.5625,55,56,118
"13",-4,-12,11,5,-10,-15,-9,-25,0.87793,0.299316,0.595703,-25.9375,-24.4375,-2.6875,102,42,52,-44,12,16,4,13,28,-3,-79,0.344727,-0.770996,0.192383,11.625,38.5625,41.75,55,58,118
"14",5,36,96,1,-14,-17,7,2,0.67334,0.364746,0.703125,-53,-5.4375,2.125,101,41,52,105,57,9,3,9,2,76,-34,0.385254,-0.54248,0.144043,0.6875,40.5625,16.5625,56,61,117
"15",15,-28,36,21,9,6,-14,-6,0.991211,0.156738,0.626953,-65.375,32.3125,1.5625,99,42,52,-119,-68,1,-2,-19,-8,5,5,0.334473,-0.644531,0.0952148,11.875,42.9375,-3.9375,56,61,116
