"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0820312","X.0.0610352","X1.17773","X7.9375","X.200.125","X.65.8125","X91","X92","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.282227","X.0.161133","X0.977539","X2.375","X.2.25","X0.375","X85","X104","X82"
"1",0,0,0,0,0,0,0,0,0.408691,-0.177734,1.04346,-43.1875,-194.938,-100.562,90,80,62,0,0,0,0,0,0,0,0,-0.291992,-0.208984,1.03467,-9.0625,1.8125,6.3125,85,104,82
"2",0,0,0,0,0,0,0,0,0.420898,-0.231934,1.00537,-26.5625,-184.5,-114.188,90,76,61,0,0,0,0,0,0,0,0,-0.406738,-0.240723,0.999512,51.375,16.125,20.9375,85,105,83
"3",-17,-3,-19,-27,-14,-10,-7,-23,0.444336,0.152832,0.808594,10.5625,-133.312,-116.875,93,64,55,-31,-11,0,5,5,-3,16,4,-0.476074,-0.0449219,0.634277,-5.25,-17.9375,33.4375,86,107,83
"4",-6,16,17,-13,-2,4,34,0,0.350098,0.146484,0.78125,7.5625,-109.75,-116.875,94,60,52,37,28,32,13,8,4,-101,64,-0.464844,0.0620117,0.983398,42.25,-87,69.5625,87,104,85
"5",-22,7,6,17,14,6,-31,-38,0.494141,0.317383,0.692383,25.375,-57.625,-73.25,97,57,48,107,19,4,-8,-20,-7,-128,-22,-0.194824,0.26709,1.18506,90.375,-114,72,89,100,87
"6",5,-13,-12,-10,-24,-17,22,11,0.502441,0.402344,0.749023,18,8.75,-78.375,99,57,46,-5,-38,-6,2,42,11,69,0,0.0908203,0.216797,1.2207,26.625,-138.562,96.4375,91,92,90
"7",-4,44,-9,-5,11,-2,30,-15,0.436523,0.296387,0.735352,25.625,85.1875,-107.25,101,61,44,-28,5,15,32,5,-3,-2,-20,0.417969,-0.0415039,1.20264,45.4375,-171.188,106.438,92,82,92
"8",15,63,18,2,3,4,-4,-18,0.367676,0.226562,0.647461,52.6875,178.125,-137.25,103,72,42,14,-30,-16,-17,-20,-5,-21,-37,0.349121,-0.081543,1.15771,44.6875,-180.812,95.5,93,74,94
"9",21,5,4,0,0,0,8,10,0.205566,0.392578,0.958496,43.1875,112.312,-109.625,104,84,41,-40,5,-1,-1,3,-23,-70,-30,0.521484,-0.12207,0.970215,29.875,-162.188,85.25,93,63,96
"10",5,-6,-19,-8,-10,21,-12,-3,0.0732422,0.673828,0.989746,35.375,32.8125,-55.8125,105,87,41,-8,-23,-9,-4,-13,17,9,-1,0.509766,-0.0991211,0.876465,-10.75,-143.938,68.9375,92,57,98
"11",3,7,9,52,9,28,17,15,0.059082,0.687988,0.966797,36,-46.5,31.375,107,85,41,10,31,-14,-32,2,10,77,-1,0.59375,-0.152344,0.762695,-25.375,-91.3125,49.375,90,50,100
"12",0,4,-6,-15,-12,11,-12,6,0.101562,0.654297,0.956543,55.5625,-82.25,62.8125,108,82,41,82,-42,-25,-22,18,-18,12,-3,0.58252,-0.0888672,0.681641,-17.8125,-57.6875,31.875,88,47,101
"13",-12,5,-8,-9,8,24,3,-21,0.382812,0.575684,0.726074,59.9375,-146.625,93.625,110,72,40,-38,-13,-2,-1,-31,-13,-31,-30,0.539551,-0.132324,0.650391,-6.5,-50.125,14.8125,87,45,102
"14",29,-5,10,0,-3,-3,16,24,0.427734,0.550781,0.545898,54.3125,-159.938,99.75,111,65,40,22,-5,11,3,-19,-48,0,25,0.60498,-0.376953,0.522949,-10.375,-38.5,12.25,86,42,103
"15",-6,11,12,15,8,8,5,16,0.44873,0.47998,0.454102,21.875,-118.062,76.1875,113,55,38,60,-12,-6,4,-11,16,19,24,0.762695,-0.178711,0.492188,-21.0625,-25.125,23.125,84,41,104
"16",19,30,27,-10,-2,-4,-11,2,0.440918,0.467285,0.43457,9.875,-17.4375,30.125,113,51,38,16,10,-3,-1,-3,-8,-23,22,0.832031,-0.0883789,0.51709,0.25,-3.9375,11.5625,84,40,105
"17",22,4,5,16,17,2,-6,-29,0.459473,0.416016,0.47168,3.125,18.6875,9.5625,113,52,38,-10,-7,-5,0,1,-16,-41,-29,0.759766,-0.199219,0.603516,-0.25,1.875,-1.25,84,40,105
"18",10,-15,-5,7,10,-18,-2,9,0.517578,0.41748,0.481934,-31.4375,117.688,-68.625,111,57,40,3,-15,-3,-5,0,-14,-43,-12,0.790527,-0.209961,0.614746,7.0625,8.8125,-8.4375,84,40,105
"19",10,9,-19,34,9,9,3,22,0.336914,0.579102,0.748047,-22.9375,158.75,-135.688,110,68,40,-7,-14,-9,-5,-5,-4,3,-6,0.836914,-0.0927734,0.652832,4.875,-0.1875,-7.6875,85,40,104
"20",-10,8,-1,-7,-3,22,-14,-5,0.34375,0.690918,0.609863,-62.4375,166.438,-173.062,110,81,40,-9,13,-2,-1,0,4,16,4,0.821289,-0.115234,0.666504,5.9375,-6.125,-4,85,40,104
"21",-8,7,-11,-4,-6,1,6,2,0.0703125,0.86084,0.82373,-19.375,123.625,-92.625,109,88,40,-16,-11,0,0,0,-13,3,-10,0.757324,-0.130859,0.69043,-3.1875,-13.5,4.375,85,39,104
