"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.237793","X0.0322266","X1.01221","X.5.375","X.4.75","X.1.8125","X90","X101","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.226074","X.0.165527","X1.02344","X.31.0625","X2.375","X1.3125","X85","X101","X84"
"1",0,0,0,0,0,0,0,0,-0.205078,0.0175781,1.04297,3.0625,0,0,90,101,76,0,0,0,0,0,0,0,0,-0.268555,-0.336914,1.13721,-16.4375,10.75,10.6875,85,102,84
"2",0,0,0,0,0,0,0,0,-0.215332,0.0390625,1.02588,4.25,1.9375,-0.0625,90,101,76,0,0,0,0,0,0,0,0,-0.379395,-0.442871,1.03174,41.25,19.25,22,85,102,84
"3",11,5,2,-1,-1,1,-1,-3,-0.213867,0.0126953,1.00439,4.9375,3.5,1.3125,90,101,76,-4,10,14,11,1,8,23,20,-0.812012,0.111816,0.686523,11.875,-64.5,64.5,88,103,86
"4",-12,-6,-1,0,0,1,-2,-5,-0.216797,0.0205078,1.01025,4.4375,3.9375,2.6875,91,101,76,-8,15,42,6,3,-10,-22,-17,-0.473145,0.17041,1.0542,22.8125,-153.688,101.062,89,96,89
"5",2,2,3,1,1,0,-1,2,-0.213379,0.0351562,1.04053,1.5,6.125,3.8125,91,102,76,5,5,-1,6,1,-3,-8,2,0.0126953,0.0224609,1.16357,36.4375,-170.75,130.812,90,89,91
"6",-16,-11,-6,-4,-3,0,-1,4,-0.243164,0.0634766,1.00146,-0.1875,8.8125,3.1875,91,102,77,3,-13,-18,-17,0,2,0,1,0.606934,0.0864258,1.06348,50.0625,-161.812,160.562,91,78,96
"7",5,-6,-5,-3,-2,-3,-1,3,-0.303223,0.0756836,0.924316,0.75,8.9375,0.125,91,103,77,19,33,11,-2,5,-1,-17,6,0.797852,-0.289551,0.973145,44.9375,-145.75,163.188,91,68,101
"8",0,1,15,4,4,-1,-1,0,-0.312012,0.100586,0.953125,8.75,5.8125,-3.5,91,103,77,-3,-6,-41,-42,-13,1,3,8,0.695801,-0.285645,0.881836,38,-146.188,160.188,90,62,104
"9",-7,-23,-8,27,-1,-4,-5,-4,-0.318848,0.161621,0.900391,-2.1875,2.4375,-20,91,104,76,27,-30,6,14,12,13,3,13,0.657715,-0.296875,0.744629,8,-154,110.375,88,53,109
"10",-4,-3,-10,-32,33,4,-1,-2,-0.356934,0.120117,0.804688,-27.125,-4.25,-26.125,91,104,76,14,30,5,3,-7,-2,3,-22,0.756836,-0.293945,0.702637,-4.875,-136.25,72.0625,86,48,111
"11",-1,5,3,-20,-38,-12,-2,-1,-0.478027,-0.074707,0.746094,-64.75,-27.875,-20,90,104,75,-7,-9,1,6,9,-18,-10,-18,0.495605,-0.171387,0.620117,-50.5,-97.125,14.125,84,42,113
"12",-4,-12,-7,-15,-19,-2,-1,-3,-0.373047,-0.216797,0.967773,-59.3125,-45.3125,-11.25,87,102,75,15,0,0,10,-10,-31,10,45,0.503906,-0.177734,0.508789,-27.375,-15.8125,-32.125,83,40,113
"13",-1,-8,-9,0,5,0,-1,-1,-0.0483398,-0.143555,1.03809,-59.8125,-58.8125,-15,86,99,75,-8,-36,-20,-6,0,-14,18,-9,0.196289,-0.263184,0.577148,78.5,159.562,-126.438,87,46,108
"14",-1,1,4,12,14,3,0,-2,0.188965,-0.251465,1.06006,-23.25,-45,-12.875,84,95,74,4,35,4,-9,4,18,29,13,0.284668,0.387207,0.798828,35.3125,153.75,-60,90,53,106
"15",-4,-21,-19,-42,-18,-11,-5,-2,0.202637,-0.186523,1.08203,-21.125,-36.9375,-9.375,84,92,74,-22,-93,-1,-14,7,9,17,41,0.477539,0.314453,0.940918,74.875,148.938,24.0625,92,62,106
"16",-1,2,1,28,-9,7,-1,-1,-0.059082,-0.215332,1.04297,-43.3125,-29.4375,-6.625,83,90,74,-1,91,1,1,-4,67,13,78,0.510742,-0.00439453,1.06787,69.6875,93.8125,81.875,93,68,109
"17",2,3,6,28,16,17,-1,1,-0.130859,-0.23584,1.01562,-42.8125,-35.375,-3.5,82,89,74,-33,-20,-27,-19,-19,-58,-5,-17,0.375977,-0.116211,1.09326,43.75,37.8125,64.8125,93,70,110
"18",-5,-2,-8,-14,-16,-62,-12,-13,-0.124023,-0.146973,0.993164,-106.938,-59.3125,-12.5625,80,87,75,-26,-128,20,61,4,-6,16,-3,0.208496,-0.0585938,1.12109,40.25,9,-46.5625,94,72,111
"19",-2,1,1,1,3,16,-7,-4,0.3125,-0.547363,0.930176,-108.312,-47.5,-31.5,76,83,75,16,-25,3,21,45,8,17,55,0.519043,0.16748,1.06494,15.5625,-41.375,-103.375,95,71,109
"20",-6,-1,-14,-36,-19,-1,-7,-6,0.537598,-0.648438,0.890137,-61.375,-15.625,-29.9375,75,80,74,4,-7,-18,-6,-19,-23,-6,-14,1.15771,0.284668,0.656738,15.4375,-53.8125,13.0625,96,65,107
"21",-3,-6,3,15,-4,12,-3,-8,0.431152,-0.578613,0.848145,-15.875,0.25,-75.8125,74,78,73,-5,8,-8,-2,-19,20,-6,0,0.888184,0.33252,0.466309,34.9375,-57.1875,129,96,62,109
"22",-14,-38,-24,-2,-12,4,3,-4,0.365234,-0.581055,0.911621,-2.9375,-1.375,-93.125,74,75,71,25,66,8,21,14,2,5,-13,0.0844727,0.0507812,0.939453,69.875,74,134.688,95,62,114
"23",-3,15,1,-3,-6,-23,16,26,0.239746,-0.487793,0.867676,0.9375,-18.125,-88.875,75,72,69,-9,52,46,41,5,12,15,5,-0.261719,0.443359,0.994141,12.3125,117.312,18.625,95,66,115
"24",13,9,-5,-7,26,-27,-9,67,0.258789,-0.424805,0.920898,-33.0625,-10.3125,-68.0625,75,70,68,-9,-66,-47,-53,-22,3,-13,-6,-0.0209961,0.405273,1.14014,51.875,36.5625,-66.0625,97,74,114
"25",2,13,3,23,1,47,28,-1,0.22998,0.422363,0.858887,51.75,57.1875,256.688,74,72,69,-22,4,4,-13,-3,8,-4,-34,0.554688,0.149902,1.01611,-58.75,-83.8125,-140.562,97,73,110
"26",-10,-9,-3,-7,-2,31,11,-18,0.390137,-1.19043,0.794434,-28.75,19.5,40.5,73,74,69,0,-18,-4,-6,-9,-4,-7,2,0.592285,0.183594,0.775879,-34.25,-119.75,-62.9375,97,67,106
"27",-3,-2,-1,3,7,9,2,-9,0.474609,-0.430176,0.706543,40.125,4.5625,18.9375,74,74,69,-7,-1,0,-10,-25,-12,0,7,0.569336,0.166992,0.700195,-59.8125,-106.375,-36.6875,97,63,105
"28",-2,0,-1,3,-5,-4,3,-20,0.322754,-0.493164,0.923828,2.875,3.75,2.6875,74,74,68,6,2,3,6,12,16,8,1,0.497559,0.138672,0.723145,2.9375,-37.3125,-46.8125,97,60,103
"29",-2,-3,-11,-1,5,2,4,-5,0.357422,-0.378418,0.891602,36,3.3125,15.1875,75,74,69,8,11,11,27,47,-25,2,-3,0.347168,0.251953,0.772949,12.5,52.3125,-127.875,99,63,100
"30",-5,-10,3,-1,-3,-2,-1,-7,0.411133,-0.372559,0.944824,54.0625,0,33.1875,76,75,69,-13,-11,-14,-11,68,-7,-24,-10,0.392578,0.280762,0.813965,9.0625,65.25,-131.75,100,67,98
"31",-1,0,5,6,4,8,2,0,0.238281,-0.385742,1,49.4375,9.5,56.875,78,76,70,17,20,4,6,-58,75,-14,21,-0.203125,0.664551,1.11719,-63.875,-32.9375,28.25,100,71,95
"32",0,5,-2,4,1,-3,-1,-1,0.261719,-0.43457,1.02197,39.875,16.125,49.9375,78,78,71,9,-4,-1,5,-4,18,-13,2,0.661621,0.479004,0.624023,54.0625,33.375,-22.125,101,71,95
"33",19,4,7,3,-3,-6,-3,2,0.356445,-0.388672,1.00342,78.25,38.5,30.8125,80,80,72,-6,-6,-2,3,-30,-50,6,-9,-0.000976562,0.387695,0.951172,-43,-1.8125,-16.5,101,73,95
"34",-1,-14,-8,2,-1,5,4,0,0.413086,-0.361816,1.03418,117,82.9375,46.875,82,82,73,-12,-25,-5,0,15,4,0,22,0.330566,0.39209,0.928711,25.125,3,-6.5,101,72,94
"35",-12,4,-15,-8,-5,-3,-3,-6,-0.130859,-0.210449,0.939941,182,108.312,62.9375,87,89,74,0,-4,2,1,-3,-4,-3,3,0.372559,0.307617,0.911621,-9.5,0.75,-4.6875,101,72,94
"36",-14,4,-8,0,2,0,-5,-12,-0.201172,0.0541992,0.86377,136.188,108.125,66.625,90,94,75,-1,1,1,4,-25,-1,-17,-7,0.371582,0.260742,0.908691,-2.375,2.25,-24.875,101,72,94
"37",6,-5,4,-2,-2,-2,2,9,-0.618164,0.0786133,0.60498,-16.5625,67.1875,36.0625,91,100,77,0,0,0,2,8,-7,-4,-2,0.351562,0.352539,0.916016,-44.875,-3.0625,-58.0625,100,73,93
"38",-25,-12,0,0,-1,35,46,-7,-0.698242,-0.280762,0.973145,-36.0625,-3.25,6.375,89,104,77,-1,-2,-4,-4,1,1,1,-3,0.395508,0.255859,0.979004,-92.9375,29.125,-92.6875,98,75,90
"39",-7,-4,-2,-3,-1,-5,-10,1,-0.12793,0.132324,1.20898,42.5,-19.75,0.3125,90,103,77,-3,-8,-6,-7,-3,-2,-2,0,0.34375,0.241699,1.05225,-95.375,53.75,-86.1875,97,78,89
"40",-2,2,1,0,4,4,0,-6,-0.106445,-0.0117188,1.12549,-42,-13.3125,-1.625,90,101,77,1,8,4,6,23,-12,1,6,0.30127,0.148438,1.02246,-98.25,73.9375,-92.5625,95,81,87
