"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.327637","X.0.19873","X0.791992","X.64.375","X.2.125","X.38.0625","X89","X97","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.308105","X.0.15918","X1.05469","X.8.75","X.3.9375","X.9.9375","X86","X97","X80"
"1",0,0,0,0,0,0,0,0,-0.656738,-0.356934,1.04297,10.0625,-73.8125,-49.625,88,97,77,0,0,0,0,0,0,0,0,-0.105957,-0.0615234,1.00537,6.5,2.9375,8.1875,86,97,80
"2",0,0,0,0,0,0,0,0,-0.0693359,-0.0883789,1.20215,-29.125,-124.375,-67.9375,87,92,75,0,0,0,0,0,0,0,0,-0.156738,-0.243652,1.11475,-3.0625,9.0625,7.75,86,97,81
"3",-7,-9,19,-2,-13,-6,6,2,0.244629,-0.074707,1.12354,-54.1875,-183.312,-78.4375,85,79,73,10,9,11,18,5,3,6,8,-0.356445,0.0864258,0.946777,55.125,-2.4375,28.125,88,98,81
"4",-4,-1,12,5,14,4,14,11,0.522949,0.0078125,0.986328,-46.1875,-190.562,-39.6875,84,67,73,-2,-5,-6,-6,-11,-5,18,2,-0.50293,0.124512,0.927246,9.5,-52.25,47.875,88,98,82
"5",15,45,-4,-36,-21,-15,9,15,0.511719,-0.0205078,0.924805,-25,-175.938,-6.75,83,59,73,1,-1,-2,-9,-2,0,9,-1,-0.137207,-0.0336914,1.07861,65.3125,-115.688,65.0625,90,94,84
"6",-25,-27,-12,-4,-11,-6,18,10,0.48584,-0.180176,0.712402,-9.25,-159.812,7.1875,82,50,75,-28,-8,-7,-7,54,40,7,-37,0.234375,0.263672,1.17627,82.6875,-144.5,69.125,93,86,85
"7",22,-9,37,36,-2,0,-16,-1,0.631836,-0.255859,0.675781,21.8125,-187.938,30.3125,81,43,77,-3,-6,-9,-13,-17,-5,-4,-15,0.358887,0.120117,1.13672,17.625,-140.438,69.3125,93,80,86
"8",-22,103,40,-3,-3,4,0,-23,0.682129,-0.18457,0.456543,59,-244.188,92.9375,77,33,84,27,-15,-18,-15,127,-29,-10,68,0.40625,-0.132324,1.12012,5.5,-159.125,43.375,93,70,88
"9",22,24,37,-7,-9,-18,-75,-55,0.88916,-0.272949,0.268555,83.5625,-265.625,138.438,70,26,94,-23,2,14,28,-121,75,14,-99,0.475586,0.108887,0.921875,-27.75,-135.875,44.375,93,61,88
"10",-42,-57,-59,-14,-9,-27,-5,36,1.00391,-0.415527,-0.0078125,81.8125,-195.125,147.812,55,26,112,-13,-9,-3,0,-9,28,-37,10,0.462891,-0.0336914,0.837891,-7.4375,-144.188,23.5625,92,52,89
"11",46,-2,-6,-2,-1,0,6,-34,0.844727,-0.601074,-0.139648,50.875,-109.188,91.75,50,28,119,-10,3,-8,-9,28,40,-8,19,0.57373,0.134277,0.67334,-4.1875,-154.938,7.0625,92,46,89
"12",-17,2,-2,-7,2,3,-7,12,0.734863,-0.666992,-0.12207,-14.0625,11.4375,-28.0625,48,29,122,10,2,11,22,31,-78,-6,31,0.648438,0.0415039,0.582031,-62.5625,-194.625,-45.25,92,39,87
