"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.446289","X0.283203","X0.96875","X168.375","X.73.875","X.188.25","X104","X61","X52","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.361816","X1.11182","X.43.25","X23.75","X28.5625","X83","X99","X78"
"1",0,0,0,0,0,0,0,0,0.479004,0.349609,0.777832,169.5,-67.75,-149.188,109,62,48,0,0,0,0,0,0,0,0,-0.347656,-0.589355,1.0415,-69.875,47.8125,73.875,82,101,79
"2",0,0,0,0,0,0,0,0,0.385254,0.433594,0.621094,157.562,-59.875,-99.75,113,64,45,0,0,0,0,0,0,0,0,-0.555176,-0.413574,0.70459,-91.9375,15.8125,65.8125,80,104,80
"3",-1,-4,-3,-4,5,-2,10,22,0.32373,0.51123,0.337891,137.5,-71.375,-64.3125,119,65,42,-5,2,2,-7,-3,1,0,17,-0.591309,-0.427246,1.05371,-106.812,-83.4375,77.4375,77,103,83
"4",6,-5,-4,-5,-4,-9,-16,-13,0.318848,0.534668,0.142578,98.4375,-80.25,-51.5625,124,66,39,0,-2,-11,-17,-1,6,5,-10,-0.282715,-0.478516,1.21191,-25.375,-127.938,76.4375,77,99,87
"5",-4,4,1,5,6,7,-20,-28,0.267578,0.503418,0.0141602,67.375,-78.0625,-18.125,126,65,37,-3,-13,-17,-5,-3,2,11,16,0.195312,-0.331543,1.16016,-1.75,-126.375,74.0625,77,93,91
"6",4,-7,-7,-3,-7,-5,13,16,0.0961914,0.259766,-0.137695,-22.4375,-72.0625,52.75,128,63,34,6,9,16,14,6,-11,-4,1,0.270508,-0.227051,1.02051,-36.75,-112.125,106.562,77,91,93
"7",-7,1,0,-4,-6,-7,-24,-32,0.247559,0.00585938,-0.0708008,-99.5,-94.375,191.875,127,53,33,1,-6,-5,1,4,9,1,-10,0.361816,-0.562988,0.90625,-102.875,-121,95.5,74,87,98
"8",-2,4,11,15,20,-9,40,-96,0.281738,-0.208984,0.0258789,-146.688,-82.125,266.25,124,43,32,-8,-2,3,3,0,-5,-2,-9,0.207031,-0.657227,0.833984,-111.812,-121.875,81.8125,72,85,100
"9",-10,-3,-4,-8,-3,5,-20,-48,0.603516,0.015625,0.429199,-190,-19,353.625,111,24,41,-16,12,1,-4,-3,-8,-2,-3,0.216309,-0.731445,0.695801,-140.375,-132.25,31.125,67,81,104
"10",-19,-14,-14,-27,-64,4,2,-41,1.35986,-0.109375,1.12451,-180.562,71.5,328.125,92,20,58,3,37,-11,-4,0,0,-5,-4,0.280273,-0.762207,0.536621,-158.75,-122.062,4.9375,64,78,106
"11",-8,-27,-19,-20,-14,28,44,-51,2.51709,0.779785,2.19043,-127.938,324.312,187.812,76,39,70,-12,40,4,6,2,-1,4,39,0.249512,-0.727051,0.330078,-135.438,-92.8125,-8.9375,59,74,109
"12",-25,-2,3,12,18,-20,-42,-115,1.32275,-1.00244,1.06836,-80.0625,138.125,-15.125,77,45,67,8,-10,-4,-10,-2,-1,2,-13,0.291992,-0.702637,0.197266,-102.5,-81.375,4.4375,55,71,111
"13",-14,-4,5,-1,-1,-3,-5,-7,1.0835,0.043457,0.470703,15.0625,-22.25,-63,78,43,66,-22,-8,-10,0,0,-2,-7,-88,0.333008,-0.736328,0.100098,-82.5625,-83.3125,6.625,52,71,113
"14",21,5,-2,-4,4,-2,-10,5,0.563477,-0.0961914,0.516602,43,-42.3125,-38.5625,80,39,64,-8,-14,-5,-4,-3,-5,-10,23,0.302246,-0.621582,-0.0644531,-28.5,-81.875,-2.5,50,69,115
"15",-3,-2,-1,5,2,14,-51,-45,0.524414,-0.0908203,0.508789,4.75,-17.875,-43.625,81,38,63,19,4,-6,-4,-7,0,-3,-9,0.251953,-0.394043,-0.182129,32.6875,-83.4375,-32.6875,49,68,117
"16",-5,-13,-2,6,4,-10,-29,7,0.562012,-0.22998,0.60791,2.75,5,-13.125,82,38,63,-9,17,0,1,-4,0,-20,-55,0.283691,0.0546875,-0.20459,144,-112.875,-137.625,51,60,120
"17",-4,1,-5,-7,2,-5,20,10,0.725098,-0.272461,0.695312,-12.3125,14.75,22.5625,81,40,63,6,5,-1,-11,3,-2,2,36,0.324219,0.240234,-0.0581055,222.562,-107.062,-207.625,54,52,121
"18",-8,-1,1,3,0,-3,14,59,0.76416,-0.186035,0.702637,1.0625,2.875,10.25,80,41,64,1,-8,-4,-21,-13,0,38,-4,0.447754,-0.0419922,0.325195,259.062,-51.9375,-277.312,64,36,118
"19",-4,-3,-4,-3,-5,-3,13,0,0.769531,-0.190918,0.666992,11.6875,-3,2,81,41,64,14,-40,-45,-10,3,15,5,49,1.52588,0.20459,1.49902,297.062,97.375,-208.438,83,30,107
"20",9,2,0,-1,2,-2,6,-2,0.73291,-0.182617,0.668457,15.5625,3.0625,7.125,81,41,64,-7,3,11,37,13,6,0,-30,1.3457,-0.271484,2.16504,292.25,257.938,-176.812,95,39,100
"21",-6,-2,-6,-2,-2,-2,2,-2,0.700195,-0.145508,0.640137,19.5,18.6875,27.9375,81,42,65,14,3,-6,3,3,2,-29,42,1.1499,-0.169434,1.5415,31.5,135.812,-8.5625,98,51,100
"22",3,-5,-2,0,-3,1,1,11,0.687988,-0.0947266,0.608398,14.625,27.75,51.75,81,44,66,30,51,8,-3,0,3,17,28,1.08105,0.361328,0.876953,-44.25,24.75,25.8125,97,52,101
"23",-11,0,-2,-1,-2,-6,4,15,0.624512,-0.157715,0.608398,19.4375,39.9375,84.1875,80,46,67,-32,-9,5,0,-4,-3,-10,-32,0.49707,0.140625,0.588379,-49.6875,-26.25,64.6875,95,50,102
"24",-2,-3,-2,-1,1,1,8,1,0.629395,-0.226562,0.643066,20.0625,83.125,155.75,78,52,71,-4,-23,-21,-18,-7,-2,-7,15,0.365723,0.00927734,0.509766,-55.875,-32.5,47.0625,93,48,104
"25",3,2,0,1,3,2,-8,33,0.521973,-0.253906,0.714844,42.1875,106.25,170.125,77,58,74,-39,-27,-3,7,2,4,2,-13,0.465332,0.105957,0.630371,-14.8125,-3.25,5.5625,91,48,105
"26",-8,-7,1,1,9,4,-26,-22,0.390137,-0.381836,0.83252,-3.4375,140.625,159.625,77,70,77,-7,-5,-4,-1,-2,0,5,58,0.583496,0.147461,0.730957,5.25,-0.5,-24.625,92,48,104
"27",0,0,-7,-9,-11,-5,-4,10,0.367188,-0.487793,0.893066,18.4375,172.375,150.562,76,78,78,-11,10,2,1,2,3,5,-27,0.691406,0.0991211,0.831055,13.6875,9.375,-18.875,93,49,103
"28",-1,-1,1,0,0,-4,-6,4,-0.0610352,-0.620605,0.978516,46.75,175.188,81.0625,78,91,79,6,8,7,8,5,-2,9,10,0.668945,0.0708008,0.832031,9.125,9.5625,-3.25,93,49,103
"29",-5,2,14,2,-2,-3,-4,-9,-0.275879,-0.52002,0.861816,41,134.625,1.6875,79,100,78,-2,-1,-6,-10,-5,0,-1,1,0.619629,0.0693359,0.810547,-6.875,-1.125,-0.875,93,49,103
"30",-1,9,5,4,3,0,-2,-1,-0.0258789,-0.552246,0.874023,-4.375,162.438,-19.375,78,105,77,3,-1,-2,-2,-3,2,1,-24,0.556641,0.109863,0.771973,-13.125,-4.75,-13.125,93,50,103
"31",-13,14,1,3,1,1,-1,-7,-0.946777,-0.46582,1.55811,111.062,149.5,1.0625,80,115,75,1,-8,-12,-11,-5,-5,7,14,0.515625,0.0263672,0.68457,-9.875,14.3125,-46.3125,93,50,102
"32",23,-18,-7,-7,-7,-4,-5,6,-0.643555,-0.303223,0.821777,155.938,38.875,-30.1875,83,117,74,2,0,1,1,-2,0,13,-7,0.52002,0.0766602,0.672363,-17.375,41,-122,95,53,98
"33",2,8,1,3,1,-1,0,0,-0.595703,0.097168,0.519043,65.8125,1.5,-31.0625,86,118,73,-6,-2,-3,-3,-2,-2,-8,-3,0.553711,0.0800781,0.709473,13.875,66.75,-160.938,97,57,95
"34",4,2,-1,-1,-2,-3,-1,2,-0.591309,-0.0600586,0.654785,-10.3125,-9.875,-34.6875,86,118,72,2,5,8,7,1,-1,3,-31,0.419922,0.291992,0.790527,-33.0625,97.125,-201.375,99,65,89
"35",-6,-1,-4,-1,1,-1,1,-3,-0.458008,-0.195312,1.1084,-37,-44.375,-1.5,85,116,72,-22,-23,-17,-6,-2,-2,-3,2,0.387207,0.123047,0.907715,-36.625,134.5,-196.188,99,72,86
"36",0,-1,3,0,-1,-2,1,-2,-0.352539,-0.171387,0.969727,-15,-8.5,12.375,84,115,72,6,0,0,-5,-1,1,4,9,0.144531,0.520996,1.00537,-15,139.75,-159.625,100,84,83
"37",3,-2,0,0,-1,-2,-2,0,-0.378418,-0.212891,0.92334,-10.1875,4.5,14.3125,84,115,73,0,10,4,2,2,-2,-8,1,-0.0561523,0.274902,0.935547,-62.25,168.688,-104.438,99,91,82
"38",-1,-4,-3,0,0,-1,-1,-3,-0.423828,-0.219727,0.892578,-4.6875,-1.625,11.75,84,115,73,-1,-3,2,-4,-1,0,-4,-2,-0.168457,0.495117,0.941406,-22.0625,151.125,-71.125,98,101,81
"39",-5,-4,1,1,-1,0,-1,-2,-0.416016,-0.192871,0.891602,-4.6875,-3.875,4.125,84,114,73,-4,-4,-5,-1,-3,-33,-12,-7,-0.568359,0.511719,1.30029,44.125,182,-40.5625,98,112,81
"40",0,-4,0,-1,0,0,1,-2,-0.428223,-0.199707,0.938477,2.9375,3.875,-2.4375,84,114,73,-3,-3,0,-3,-5,-13,-2,-1,-0.580078,0.753418,0.778809,-83.25,38.1875,-14.5,98,116,82
"41",2,-1,-2,0,-1,-3,-2,-1,-0.433105,-0.17334,0.922363,9.125,2.8125,-3.625,84,114,73,-1,-2,-1,-1,-2,-14,6,-4,-0.731934,-0.326172,0.726074,-149.5,20.0625,38.1875,93,118,83
"42",1,-1,-2,-3,-3,-2,-1,1,-0.441406,-0.146484,0.90625,2.4375,1.125,-2.6875,84,115,73,-1,-1,0,1,-3,-4,-3,-1,-0.491699,0.00830078,0.720215,-15.4375,8.875,27.75,93,118,84
"43",1,0,-1,1,1,-1,-1,-1,-0.452637,-0.163086,0.907715,-1.5,-1.9375,-0.9375,84,115,73,0,-4,-1,0,0,2,-2,1,-0.52002,0.0737305,0.879883,-3.4375,-34.625,20.5,93,118,84
"44",1,-1,-1,-3,-1,0,-2,-1,-0.433594,-0.167969,0.906738,-4.3125,-2.8125,1,84,114,73,-1,-1,-3,-2,-1,0,2,-1,-0.430664,0.00292969,1.01025,28.4375,-36.0625,0.0625,93,116,84
"45",-2,-2,-2,0,0,-1,-1,-1,-0.418945,-0.180664,0.918945,-3.3125,-1.6875,0.0625,84,114,73,0,1,0,0,0,2,-1,-1,-0.441895,0.14502,1.00342,38.25,-9.3125,-7.9375,94,115,84
"46",-2,-4,0,-2,-1,-1,-2,1,-0.414551,-0.192383,0.917969,-0.9375,1.5,-1.75,84,114,73,0,-1,-1,0,1,2,1,-1,-0.422363,0.197266,0.935547,32.9375,-7.75,-0.75,95,114,84
"47",-3,-1,-1,0,-1,-1,0,-2,-0.437988,-0.191406,0.90625,-0.75,0.75,-1.3125,84,114,73,-2,-2,-2,-3,-1,0,-1,-2,-0.425781,0.26123,0.872559,7.625,1.1875,0.5625,95,114,84
"48",0,-2,-1,0,0,-3,-2,-1,-0.436035,-0.184082,0.911133,-0.5,-1.125,-0.625,84,114,73,-1,0,1,-2,-1,0,0,-2,-0.463867,0.202148,0.907715,-6.6875,-2.6875,1.875,95,114,84
"49",8,12,0,-2,0,-1,0,1,-0.430176,-0.175781,0.912598,-1.625,-1.5,-0.125,84,114,73,-1,-1,-2,-1,-2,1,0,-1,-0.456055,0.165039,0.939453,-5.3125,-1.1875,1.3125,95,114,84
"50",-4,-5,-2,0,0,0,0,-3,-0.424805,-0.185547,0.916016,-1.6875,-1.125,0,84,114,73,0,-1,0,-2,0,1,2,0,-0.445312,0.17627,0.919922,1.5,0.6875,2.625,95,114,84
